NO,JARINGAN PENGAMATAN,NO STASIUN,LINTANG,BUJUR,DESA,KECAMATAN,KAB/KOTA,PROVINSI,JARINGAN
5248,Pos Hujan,11032001a,4.29,97.54,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5249,Pos Hujan,11032101a,4.904,97.768,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5250,Pos Hujan,11032401a,4.64213,97.63,,,Kab. Aceh Timur,Nanggroe Aceh Darussalam,PHOBS
5251,Pos Hujan,11040101a,4.37946,97.12419,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5252,Pos Hujan,11040201a,4.70275,96.7127,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5253,Pos Hujan,11040301a,4.63634,96.83648,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5254,Pos Hujan,11040701a,4.59525,96.80801,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5255,Pos Hujan,11040801a,4.586,97.015,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5256,Pos Hujan,11041001a,4.69,96.73,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5257,Pos Hujan,11041101a,4.655,96.823,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5258,Pos Hujan,11041201a,4.683,96.796,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5259,Pos Hujan,11041301a,4.59988,96.69486,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5260,Pos Hujan,11041701a,4.60139,96.87319,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5261,Pos Hujan,11041801a,4.4162,96.7768,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5262,Pos Hujan,11041901a,4.37721,96.76104,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5263,Pos Hujan,11042001a,4.7462,96.7337,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5264,Pos Hujan,11042101a,4.62,96.64,,,Kab. Aceh Tengah,Nanggroe Aceh Darussalam,PHOBS
5265,Pos Hujan,11050101a,4.20207,96.13929,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5266,Pos Hujan,11050201a,4.23045,96.16877,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5267,Pos Hujan,11050301a,4.54837,96.11086,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5268,Pos Hujan,11050401a,4.41077,96.0602,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5269,Pos Hujan,11050501a,4.21,96.07,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5270,Pos Hujan,11050601a,4.30715,96.09387,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5271,Pos Hujan,11050701a,4.32122,95.9591,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5272,Pos Hujan,11050801a,4.38849,96.25065,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5273,Pos Hujan,11050901a,4.156,96.15767,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5274,Pos Hujan,11051001a,4.32489,96.02125,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5275,Pos Hujan,11051101a,4.47,96.09,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5276,Pos Hujan,11051201a,4.40675,96.19843,,,Kab. Aceh Barat,Nanggroe Aceh Darussalam,PHOBS
5277,Pos Hujan,11060101a,5.23,95.27,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5278,Pos Hujan,11060201a,5.473,95.24,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5279,Pos Hujan,11060401a,5.36625,95.56977,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5280,Pos Hujan,11060501a,5.45749,95.42087,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5281,Pos Hujan,11060701a,5.49519,95.33187,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5282,Pos Hujan,11060702a,5.5,95.303,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5283,Pos Hujan,11060801a,5.53302,95.27,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5284,Pos Hujan,11060901a,5.59094,95.51,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5285,Pos Hujan,11061001a,5.52,95.35,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
